sales_id,invoice_date,client_key,product_key,quantity_ordered,invoiced_unit_price
20001,2026-02-14,5004,105,78,680.44
20002,2026-02-04,5006,101,106,78.1
20003,2026-03-29,5015,102,92,447.39
20004,2026-06-22,5001,106,112,163.26
20005,2026-03-03,5010,104,272,1179.39
20006,2026-06-13,5006,105,82,694.06
20007,2026-01-20,5012,105,48,679.29
20008,2026-05-08,5010,106,150,422.5
20009,2026-02-17,5008,104,-26,1184.18
20010,2026-03-09,5010,105,29,429.39
20011,2026-02-18,5012,104,14,1168.73
20012,2026-06-28,5007,104,49,1108.53
20013,2026-02-24,5014,101,216,69.56
20014,2026-04-11,5012,102,49,439.54
20015,2026-01-13,5007,103,164,185.56
20016,2026-04-04,5015,105,704,692.18
20017,2026-06-25,5013,102,107,441.11
20018,2026-01-07,5010,104,40,1173.79
20019,2026-05-21,5008,102,96,444.71
20020,2026-05-24,5011,102,63,438.82
20021,2026-02-05,5001,106,97,235.25
20022,2026-06-18,5002,106,136,238.78
20023,2026-02-04,5011,101,145,78.72
20024,2026-01-14,5010,102,105,0.0
20025,2026-06-03,5001,101,4947,78.94
20026,2026-02-28,5003,101,60,78.06
20027,2026-04-11,5013,101,267,78.06
20028,2026-01-08,5011,105,30,575.87
20029,2026-02-14,5001,101,59,79.76
20030,2026-05-30,5012,106,31,132.36
20031,2026-04-18,5006,105,64,694.9
20032,2026-02-28,5001,105,65,661.65
20033,2026-04-16,5015,106,97,235.01
20034,2026-02-03,5011,101,125,73.08
20035,2026-03-03,5014,104,53,1175.19
20036,2026-05-05,5011,101,285,77.7
20037,2026-02-04,5002,101,62,79.44
20038,2026-01-19,5012,102,3243,449.97
20039,2026-05-14,5008,106,90,236.32
20040,2026-04-13,5007,105,92,681.63
20041,2026-01-17,5014,104,15,1190.55
20042,2026-02-07,5008,103,116,188.95
20043,2026-04-10,5005,101,199,79.78
20044,2026-03-08,5002,106,31,239.25
20045,2026-02-23,5014,104,17,1171.72
20046,2026-06-28,5007,106,146,237.73
20047,2026-03-23,5011,103,133,189.3
20048,2026-05-05,5013,102,116,437.98
20049,2026-04-02,5006,106,63,234.72
20050,2026-03-04,5009,103,114,186.42
